epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,11656.5,0.42864,0.33547,0.9184,0.91767,0.92994,0.9391,0.88265,0.35202,0.18487,0.84391,0.0075052,0.0075052,0.0075052
128,11748.9,0.43141,0.33741,0.91704,0.93451,0.99705,0.96085,0.90365,0.35344,0.17822,0.84649,0.0074854,0.0074854,0.0074854
129,11842.4,0.43043,0.33983,0.91692,0.90558,0.99661,0.91436,0.85725,0.36062,0.18633,0.84843,0.0074656,0.0074656,0.0074656
130,11935,0.43033,0.33471,0.92152,0.92907,0.99318,0.97794,0.9204,0.35991,0.18689,0.84843,0.0074458,0.0074458,0.0074458
131,12028.4,0.42674,0.33387,0.91787,0.9925,0.92511,0.96811,0.9114,0.35646,0.17774,0.84427,0.007426,0.007426,0.007426
132,12120.7,0.42851,0.34144,0.91635,0.92836,0.99434,0.96135,0.90656,0.35257,0.17888,0.84511,0.0074062,0.0074062,0.0074062
133,12213.3,0.42986,0.33707,0.91766,0.97507,0.98997,0.99381,0.93916,0.35646,0.18459,0.84738,0.0073864,0.0073864,0.0073864
134,12305.7,0.43543,0.3358,0.92342,0.90806,0.98714,0.94546,0.89035,0.36154,0.19547,0.84643,0.0073666,0.0073666,0.0073666
135,12397.8,0.42594,0.33634,0.91345,0.95685,0.85784,0.90601,0.84982,0.35378,0.1839,0.84372,0.0073468,0.0073468,0.0073468
136,12490.5,0.43978,0.33697,0.92068,0.94383,0.85876,0.89488,0.83813,0.3524,0.18339,0.84224,0.007327,0.007327,0.007327
137,12582.3,0.42221,0.33735,0.91734,0.95471,0.8568,0.88848,0.83375,0.35008,0.1887,0.84243,0.0073072,0.0073072,0.0073072
138,12674.5,0.41701,0.31814,0.91146,0.96245,0.85245,0.89103,0.8332,0.35212,0.18523,0.84198,0.0072874,0.0072874,0.0072874
139,12766.9,0.42676,0.3303,0.91765,0.98105,0.93684,0.99418,0.93923,0.3504,0.18467,0.84241,0.0072676,0.0072676,0.0072676
140,12859.1,0.42572,0.33565,0.91849,0.91137,0.94399,0.96067,0.90609,0.34691,0.18248,0.84109,0.0072478,0.0072478,0.0072478
